nctid,"search_query","facility",state,city,zip,latitude,longitude
NCT04617782,"Worldwide Clinical Trials, San Antonio, Texas 78217","Worldwide Clinical Trials",Texas,San Antonio,78217,,
NCT00702507,"Wilson P. Andrews Jr., MD, Marietta, Georgia 30062","Wilson P. Andrews Jr., MD",Georgia,Marietta,30062,,
NCT05372419,"Wilmington Health Family Medicine, Wilmington, North Carolina 28411",Wilmington Health Family Medicine,North Carolina,Wilmington,28411,,
NCT04208100,"William LoVerme, MD, Billerica, Massachusetts 01821","William LoVerme, MD",Massachusetts,Billerica,01821,,
NCT04207047,"William LoVerme, MD, Billerica, Massachusetts 01821","William LoVerme, MD",Massachusetts,Billerica,01821,,
NCT01147172,"William Coleman, MD, Metairie, Louisiana 70006","William Coleman, MD",Louisiana,Metairie,70006,,
NCT03938948,"Will Surgical Arts, Ijamsville, Maryland 21754",Will Surgical Arts,Maryland,Ijamsville,21754,,
NCT03285581,"Westlake Dermatology, Austin, Texas 78746",Westlake Dermatology,Texas,Austin,78746,,
NCT03565146,"Westlake Dermatology, Austin, Texas 78746",Westlake Dermatology,Texas,Austin,78746,,
NCT05755139,"Westlake Dermatology, Austin, Texas 78746","Westlake Dermatology",Texas,Austin,78746,,
NCT06926023,"West Dermatology Research Center/Cosmetic Laser Dermatology, San Diego, California 92121",West Dermatology Research Center/Cosmetic Laser Dermatology,California,San Diego,92121,,
NCT06032286,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,California,San Diego,92121,,
NCT03361176,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,California,San Diego,92121,,
NCT03426098,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,California,San Diego,92121,,
NCT06603857,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,California,San Diego,92121,,
NCT01910818,"Wellman Center for Photomedicine, Massachusetts General Hospital, Boston, Massachusetts 02114","Wellman Center for Photomedicine, Massachusetts General Hospital",Massachusetts,Boston,02114,,
NCT05841628,"Wellman Center for Photomedicine, Harvard Medical School, Boston, Massachusetts 02114","Wellman Center for Photomedicine, Harvard Medical School",Massachusetts,Boston,02114,,
NCT05590585,"Wayne State University Physician Group Dermatology, Dearborn, Michigan 48126",Wayne State University Physician Group Dermatology,Michigan,Dearborn,48126,,
NCT05372419,"Washington University School of Medicine, St Louis, Missouri 63110",Washington University School of Medicine,Missouri,St Louis,63110,,
NCT02772276,"Washington University School of Medicine, St Louis, Missouri 63110","Washington University School of Medicine",Missouri,St Louis,63110,,
NCT05590585,"Washington University School of Medicine, St Louis, Missouri 63110",Washington University School of Medicine,Missouri,St Louis,63110,,
NCT01789346,"Washington Institute of Dermatologic Laser Surgery, Washington D.C., District of Columbia 20005",Washington Institute of Dermatologic Laser Surgery,District of Columbia,Washington D.C.,20005,,
NCT02146807,"Washington Institute of Dermatologic Laser Surgery, Washington D.C., District of Columbia 20005",Washington Institute of Dermatologic Laser Surgery,District of Columbia,Washington D.C.,20005,,
NCT00099112,"Warren Grant Magnuson Clinical Center - NCI Clinical Studies Support, Bethesda, Maryland 20892-1182",Warren Grant Magnuson Clinical Center - NCI Clinical Studies Support,Maryland,Bethesda,20892-1182,,
NCT05372419,"Wallace Medical Group, Inc., Los Angeles, California 90056","Wallace Medical Group, Inc.",California,Los Angeles,90056,,
NCT01247818,"Wake Research Associates, Raleigh, North Carolina 27602",Wake Research Associates,North Carolina,Raleigh,27602,,
NCT05386368,"Wake Forest University Health Sciences, Winston-Salem, North Carolina 27157",Wake Forest University Health Sciences,North Carolina,Winston-Salem,27157,,
NCT05981118,"Wake Forest University Health Sciences Department of Dermatology, Winston-Salem, North Carolina 27157",Wake Forest University Health Sciences Department of Dermatology,North Carolina,Winston-Salem,27157,,
NCT01831180,"Wake Forest School of Medicine - Dermatology Clinic, Winston-Salem, North Carolina 27157",Wake Forest School of Medicine - Dermatology Clinic,North Carolina,Winston-Salem,27157,,
NCT01147172,"Vitiligo and Pigmentation Inst of Southern California, Los Angeles, California 90036",Vitiligo and Pigmentation Inst of Southern California,California,Los Angeles,90036,,
NCT06099080,"Vitiligo & Pigmentation Institute of Southern California, Los Angeles, California 90036","Vitiligo & Pigmentation Institute of Southern California",California,Los Angeles,90036,,
NCT06349356,"Visionary Consultants Inc., Lexington, Kentucky 40517",Visionary Consultants Inc.,Kentucky,Lexington,40517,,
NCT03945383,"Virginia Clinical Research, Norfolk, Virginia 23502","Virginia Clinical Research",Virginia,Norfolk,23502,,
NCT00594425,"Virginia Clinical Research, Inc., Norfolk, Virginia 23507","Virginia Clinical Research, Inc.",Virginia,Norfolk,23507,,
NCT01347879,"Virginia Clinical Research, Inc., Norfolk, Virginia 23507","Virginia Clinical Research, Inc.",Virginia,Norfolk,23507,,
NCT00933543,"Virginia Clinical Research, Inc., Norfolk, Virginia 23507","Virginia Clinical Research, Inc.",Virginia,Norfolk,23507,,
NCT05372419,"Virginia Clinical Research, Inc., Norfolk, Virginia 23502","Virginia Clinical Research, Inc.",Virginia,Norfolk,23502,,
NCT00865878,"Vanderbilt University Medical Center, Nashville, Tennessee 37204",Vanderbilt University Medical Center,Tennessee,Nashville,37204,,
NCT05807620,"Validated Claim Support, LLC, Teaneck, New Jersey 07666","Validated Claim Support, LLC",New Jersey,Teaneck,07666,,
NCT00922623,"Valerie Callender, Mitchellville, Maryland 20721",Valerie Callender,Maryland,Mitchellville,20721,,
NCT06317766,"UT Soutwestern Medical Center, Dallas, Texas 75390",UT Soutwestern Medical Center,Texas,Dallas,75390,,
NCT05493280,"UT Southwestern Medical Center- Dept of Plastic Surgery, Dallas, Texas 75390",UT Southwestern Medical Center- Dept of Plastic Surgery,Texas,Dallas,75390,,
NCT04477187,"UT Southwestern Medical Center- Dept of Plastic Surgery, Dallas, Texas 75390",UT Southwestern Medical Center- Dept of Plastic Surgery,Texas,Dallas,75390,,
NCT03715049,"UT Southwestern Medical Center Dept. of Plastic Surgery, Dallas, Texas 75390-9132",UT Southwestern Medical Center Dept. of Plastic Surgery,Texas,Dallas,75390-9132,,
NCT05226104,"UT Southwestern Department of Plastic Surgery, Dallas, Texas 75390",UT Southwestern Department of Plastic Surgery,Texas,Dallas,75390,,
NCT06477172,"US Dermatology Partners / Dermatology Associates of Tyler, Tyler, Texas 75703","US Dermatology Partners / Dermatology Associates of Tyler",Texas,Tyler,75703,,
NCT05482425,"UPMC Aesthetic Plastic Surgery Center, Pittsburgh, Pennsylvania 15213",UPMC Aesthetic Plastic Surgery Center,Pennsylvania,Pittsburgh,15213,,
NCT00027976,"University of Wisconsin Comprehensive Cancer Center, Madison, Wisconsin 53792-6164",University of Wisconsin Comprehensive Cancer Center,Wisconsin,Madison,53792-6164,,
NCT06558838,"University of Utah MidValley Dermatology, Murray, Utah 84107",University of Utah MidValley Dermatology,Utah,Murray,84107,,
NCT03988049,"University of Utah MidValley Dermatology, Murray, Utah 84107",University of Utah MidValley Dermatology,Utah,Murray,84107,,
NCT04893577,"University of Utah MidValley Dermatology, Murray, Utah 84107",University of Utah MidValley Dermatology,Utah,Murray,84107,,
NCT04616898,"University of Texas Southwestern, Dallas, Texas 75390",University of Texas Southwestern,Texas,Dallas,75390,,
NCT06091215,"University of Texas Southwestern Medical Center, Dallas, Texas 75390",University of Texas Southwestern Medical Center,Texas,Dallas,75390,,
NCT03507036,"University of Texas Southwestern Medical Center, Dallas, Texas 75390","University of Texas Southwestern Medical Center",Texas,Dallas,75390,,
NCT05085730,"University of Texas Southwestern Medical Center, Dallas, Texas 75390",University of Texas Southwestern Medical Center,Texas,Dallas,75390,,
NCT00027976,"University of Texas - MD Anderson Cancer Center, Houston, Texas 77030-4009",University of Texas - MD Anderson Cancer Center,Texas,Houston,77030-4009,,
NCT02090933,"University of Rochester, Rochester, New York 14642",University of Rochester,New York,Rochester,14642,,
NCT02099136,"University of Rochester, Rochester, New York 14642",University of Rochester,New York,Rochester,14642,,
NCT00523588,"University of Pennsylvania, Department of Dermatology, Philadelphia, Pennsylvania 19104","University of Pennsylvania, Department of Dermatology",Pennsylvania,Philadelphia,19104,,
NCT02322086,"University of North Carolina School of Medicine, Chapel Hill, North Carolina 27516",University of North Carolina School of Medicine,North Carolina,Chapel Hill,27516,,
NCT05514834,"University of Minnesota, Minneapolis, Minnesota 55455",University of Minnesota,Minnesota,Minneapolis,55455,,
NCT01016964,"University of Minnesota, Department of Dermatology, Minneapolis, Minnesota 55455","University of Minnesota, Department of Dermatology",Minnesota,Minneapolis,55455,,
NCT05383664,"University of Michigan, Ann Arbor, Michigan 48109",University of Michigan,Michigan,Ann Arbor,48109,,
NCT03728569,"University of Michigan, Ann Arbor, Michigan 48109",University of Michigan,Michigan,Ann Arbor,48109,,
NCT03089580,"University of Michigan Kellogg Eye Center, Ann Arbor, Michigan 48105",University of Michigan Kellogg Eye Center,Michigan,Ann Arbor,48105,,
NCT00647556,"University of Michigan Department of Dermatology, Ann Arbor, Michigan 48109",University of Michigan Department of Dermatology,Michigan,Ann Arbor,48109,,
NCT00027976,"University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan 48109-0314",University of Michigan Comprehensive Cancer Center,Michigan,Ann Arbor,48109-0314,,
NCT06801795,"University of Miami, Miami, Florida 33136",University of Miami,Florida,Miami,33136,,
NCT03661697,"University of Miami, Miami, Florida 33136","University of Miami",Florida,Miami,33136,,
NCT00865878,"University of Miami, Miami, Florida 33136",University of Miami,Florida,Miami,33136,,
NCT05166395,"University of Miami, Miami, Florida 33136",University of Miami,Florida,Miami,33136,,
NCT02472405,"University of Miami Sylvester Comprehensive Cancer Center, Miami, Florida 33136",University of Miami Sylvester Comprehensive Cancer Center,Florida,Miami,33136,,
NCT00520910,"University of Miami Skin Research Group Office, Miami, Florida 33136",University of Miami Skin Research Group Office,Florida,Miami,33136,,
NCT05590585,"University of Miami Miller School of Medicine, Miami, Florida 33136",University of Miami Miller School of Medicine,Florida,Miami,33136,,
NCT01016964,"University of Miami Miller School of Medicine - Dermatology, Miami, Florida 33136",University of Miami Miller School of Medicine - Dermatology,Florida,Miami,33136,,
NCT02270645,"University of Miami Hospital and Clinics/Sylvester Comprehensive Cancer Center, Miami, Florida 33136","University of Miami Hospital and Clinics/Sylvester Comprehensive Cancer Center",Florida,Miami,33136,,
NCT01162850,"University of Miami Cosmetic Center, Miami, Florida 33140",University of Miami Cosmetic Center,Florida,Miami,33140,,
NCT02988622,"University of Iowa Health Care, Department of Dermatology, Iowa City, Iowa 52242","University of Iowa Health Care, Department of Dermatology",Iowa,Iowa City,52242,,
NCT05356754,"University of Colorado Hospital, Aurora, Colorado 80045","University of Colorado Hospital",Colorado,Aurora,80045,,
NCT00865878,"University of California, San Francisco, San Francisco, California 94115","University of California, San Francisco",California,San Francisco,94115,,
NCT00865878,"University of California, Irvine, Irvine, California 92697","University of California, Irvine",California,Irvine,92697,,
NCT03767972,"University of California, Irvine, Dermatology Clinical Research Center, Irvine, California 92697","University of California, Irvine, Dermatology Clinical Research Center",California,Irvine,92697,,
NCT04969380,"University of California, Irvine, California 92697",University of California,California,Irvine,92697,,
NCT04176068,"University of California, Irvine Dermatology Clinical Research Center, Irvine, California 92697","University of California, Irvine Dermatology Clinical Research Center",California,Irvine,92697,,
NCT05356754,"University of California San Francisco, San Francisco, California 94143",University of California San Francisco,California,San Francisco,94143,,
NCT05372419,"University of California Davis (UC Davis) Comprehensive Cancer Center, Sacramento, California 95816","University of California Davis (UC Davis) Comprehensive Cancer Center",California,Sacramento,95816,,
NCT05398237,"University of Arizona, Tucson, Arizona 85724",University of Arizona,Arizona,Tucson,85724,,
NCT03176485,"University of Arizona Cancer Center, Tucson, Arizona 85724",University of Arizona Cancer Center,Arizona,Tucson,85724,,
NCT06177106,"University of Arizona Cancer Center, Tucson, Arizona 85719",University of Arizona Cancer Center,Arizona,Tucson,85719,,
NCT00027976,"University of Alabama at Birmingham Comprehensive Cancer Center, Birmingham, Alabama 35294-3300",University of Alabama at Birmingham Comprehensive Cancer Center,Alabama,Birmingham,35294-3300,,
NCT02968446,"University Hospitals, Cleveland, Ohio 44106",University Hospitals,Ohio,Cleveland,44106,,
NCT02457000,"University Hospitals Cleveland Medical Center, Cleveland, Ohio 44118",University Hospitals Cleveland Medical Center,Ohio,Cleveland,44118,,
NCT02920502,"University Hospitals Cleveland Medical Center, Cleveland, Ohio 44106",University Hospitals Cleveland Medical Center,Ohio,Cleveland,44106,,
NCT02165657,"University Hospitals Cleveland Medical Center (Concord Site), Concord, Ohio 44077",University Hospitals Cleveland Medical Center (Concord Site),Ohio,Concord,44077,,
NCT01986634,"Univeristy Hospitals Cedar Brainard Office, Lyndhurst, Ohio 44124",Univeristy Hospitals Cedar Brainard Office,Ohio,Lyndhurst,44124,,
NCT04540913,"United States, Florida, Bradenton, Florida 34209","United States, Florida",Florida,Bradenton,34209,,
NCT06885112,"UnionDerm, New York, New York 10003",UnionDerm,New York,New York,10003,,
NCT02748928,"Union Square Laser Dermatology, New York, New York 10003",Union Square Laser Dermatology,New York,New York,10003,,
NCT02999763,"Union Square Laser Dermatology, New York, New York 10003","Union Square Laser Dermatology",New York,New York,10003,,
NCT02286804,"Ulthera, Inc., Mesa, Arizona 85204","Ulthera, Inc.",Arizona,Mesa,85204,,
NCT05590585,"UCSF, San Francisco, California 94118",UCSF,California,San Francisco,94118,,
NCT01012713,"UCSF Psoriasis and Skin Treatment Center, San Francisco, California 94118","UCSF Psoriasis and Skin Treatment Center",California,San Francisco,94118,,
NCT05590585,"UCSD/ Rady Children's Hospital, San Diego, California 92123",UCSD/ Rady Children's Hospital,California,San Diego,92123,,
NCT05372419,"UConn Health, Farmington, Connecticut 06030-2840",UConn Health,Connecticut,Farmington,06030-2840,,
NCT06879626,"UCLA Center for Human Nutrition, Los Angeles, California 90095","UCLA Center for Human Nutrition",California,Los Angeles,90095,,
NCT04352504,"UCLA Center for Human Nutrition, Los Angeles, California 90095",UCLA Center for Human Nutrition,California,Los Angeles,90095,,
NCT07006636,"UCLA Center for Human Nutrition, Los Angeles, California 90095",UCLA Center for Human Nutrition,California,Los Angeles,90095,,
NCT05102604,"UCLA Center for Human Nutrition, Los Angeles, California 90024",UCLA Center for Human Nutrition,California,Los Angeles,90024,,
NCT03496584,"UCLA Center for Human Nutriiton, Los Angeles, California 90095",UCLA Center for Human Nutriiton,California,Los Angeles,90095,,
NCT05171894,"UCI Health Beckman Laser Institute & Medical Clinic, Irvine, California 92697",UCI Health Beckman Laser Institute & Medical Clinic,California,Irvine,92697,,
NCT00585715,"UC Irvine Dermatology Clinical Research Center, Irvine, California 92697",UC Irvine Dermatology Clinical Research Center,California,Irvine,92697,,
NCT00585286,"UC Irvine Dermatology Clinical Research Center, Irvine, California 92697",UC Irvine Dermatology Clinical Research Center,California,Irvine,92697,,
NCT02954315,"UC Davis Department of Dermatology, Clinical Trials Unit, Sacramento, California 95816","UC Davis Department of Dermatology, Clinical Trials Unit",California,Sacramento,95816,,
NCT05011461,"UC Davis Department of Dermatology, Clinical Trials Unit, Sacramento, California 95816","UC Davis Department of Dermatology, Clinical Trials Unit",California,Sacramento,95816,,
NCT04875715,"UC Davis Department of Dermatology, Clinical Trials Unit, Sacramento, California 95816","UC Davis Department of Dermatology, Clinical Trials Unit",California,Sacramento,95816,,
NCT03729700,"UC Davis Department of Dermatology, Clinical Trials Unit, Sacramento, California 95816","UC Davis Department of Dermatology, Clinical Trials Unit",California,Sacramento,95816,,
NCT01053819,"UAB Dermatology, Birmingham, Alabama 35233",UAB Dermatology,Alabama,Birmingham,35233,,
NCT00089180,"UAB Comprehensive Cancer Center, Birmingham, Alabama 35294",UAB Comprehensive Cancer Center,Alabama,Birmingham,35294,,
NCT00865878,"Tufts Medical Center, Boston, Massachusetts 02111",Tufts Medical Center,Massachusetts,Boston,02111,,
NCT06349356,"Triangle Eye Consultants, Raleigh, North Carolina 27617",Triangle Eye Consultants,North Carolina,Raleigh,27617,,
NCT06349356,"Toyos Clinic, Nashville, Tennessee 37215",Toyos Clinic,Tennessee,Nashville,37215,,
NCT05168670,"Toyos Clinic, Nashville, Tennessee 37215",Toyos Clinic,Tennessee,Nashville,37215,,
NCT05372419,"Total Skin and Beauty Dermatology Center, PC, Birmingham, Alabama 35205","Total Skin and Beauty Dermatology Center, PC",Alabama,Birmingham,35205,,
NCT05590585,"Total Skin & Beauty Dermatology Center, Birmingham, Alabama 35203",Total Skin & Beauty Dermatology Center,Alabama,Birmingham,35203,,
NCT02575950,"Torrance Clinical Research Institute Inc., Lomita, California 90717",Torrance Clinical Research Institute Inc.,California,Lomita,90717,,
NCT06633731,"Tone Dermatology, Chicago, Illinois 60616",Tone Dermatology,Illinois,Chicago,60616,,
NCT04147260,"TKL Research, Inc., Fair Lawn, New Jersey 07410","TKL Research, Inc.",New Jersey,Fair Lawn,07410,,
NCT05844735,"TKL Research, Inc., Fair Lawn, New Jersey 07410","TKL Research, Inc.",New Jersey,Fair Lawn,07410,,
NCT01787461,"TKL Research, Inc., Fair Lawn, New Jersey 07410","TKL Research, Inc.",New Jersey,Fair Lawn,07410,,
NCT06369675,"TKL Research, Inc, Fair Lawn, New Jersey 07410","TKL Research, Inc",New Jersey,Fair Lawn,07410,,
NCT06369727,"TKL Research, Inc, Fair Lawn, New Jersey 07410","TKL Research, Inc",New Jersey,Fair Lawn,07410,,
NCT03472534,"TKL Research, Fair Lawn, New Jersey 07410",TKL Research,New Jersey,Fair Lawn,07410,,
NCT03472547,"TKL Research, Fair Lawn, New Jersey 07410",TKL Research,New Jersey,Fair Lawn,07410,,
NCT02321644,"TKL Research, Fair Lawn, New Jersey 07410",TKL Research,New Jersey,Fair Lawn,07410,,
NCT03473197,"TKL Research, Fair Lawn, New Jersey 07410",TKL Research,New Jersey,Fair Lawn,07410,,
NCT03473184,"TKL Research, Fair Lawn, New Jersey 07410",TKL Research,New Jersey,Fair Lawn,07410,,
NCT01686295,"TKL Research Inc., Paramus, New Jersey 07652","TKL Research Inc.",New Jersey,Paramus,07652,,
NCT03365934,"TKL Research Inc., Fair Lawn, New Jersey 07410",TKL Research Inc.,New Jersey,Fair Lawn,07410,,
NCT02650505,"TKL Research Inc., Fair Lawn, New Jersey 07410",TKL Research Inc.,New Jersey,Fair Lawn,07410,,
NCT03899064,"TKL Research Inc., Fair Lawn, New Jersey 07410","TKL Research Inc.",New Jersey,Fair Lawn,07410,,
NCT03892564,"TKL Research Inc, Fair Lawn, New Jersey 07410",TKL Research Inc,New Jersey,Fair Lawn,07410,,
NCT01830764,"TKL Research Inc (Research Clinics Division), Paramus, New Jersey 07652",TKL Research Inc (Research Clinics Division),New Jersey,Paramus,07652,,
NCT00818311,"Thomas Stephens and Associates, Inc, Carrollton, Texas 75006","Thomas Stephens and Associates, Inc",Texas,Carrollton,75006,,
NCT04040933,"Thomas J. Stephens, Richardson, Texas 75081",Thomas J. Stephens,Texas,Richardson,75081,,
NCT04510103,"Thomas J. Stephens & Associates, Inc., Colorado Springs, Colorado 80915","Thomas J. Stephens & Associates, Inc.",Colorado,Colorado Springs,80915,,
NCT00594425,"Therapeutics Clinical Research, San Diego, California 92123",Therapeutics Clinical Research,California,San Diego,92123,,
NCT00891774,"The Vitiligo and Pigmentation Institute of Southern California, Los Angeles, California 90036",The Vitiligo and Pigmentation Institute of Southern California,California,Los Angeles,90036,,
NCT05590585,"The University Of Alabama At Birmingham, Birmingham, Alabama 35233","The University Of Alabama At Birmingham",Alabama,Birmingham,35233,,
NCT04829227,"The Practice of Brian S. Biesman, MD, Nashville, Tennessee 37203","The Practice of Brian S. Biesman, MD",Tennessee,Nashville,37203,,
NCT03573271,"The Practice of Brian S. Biesman, M.D, Nashville, Tennessee 37203","The Practice of Brian S. Biesman, M.D",Tennessee,Nashville,37203,,
NCT03583918,"The Practice of Brian S. Biesman, M.D, Nashville, Tennessee 37203","The Practice of Brian S. Biesman, M.D",Tennessee,Nashville,37203,,
NCT05755139,"The Pearl Dermatology, Houston, Texas 77027",The Pearl Dermatology,Texas,Houston,77027,,
NCT03793348,"The Office of Brian Biesman, M.D., Nashville, Tennessee 37203","The Office of Brian Biesman, M.D.",Tennessee,Nashville,37203,,
NCT01430195,"The Mount Sinai School of Medicine, New York, New York 10029",The Mount Sinai School of Medicine,New York,New York,10029,,
NCT00865878,"The Mount Sinai Medical Center, New York, New York 10029",The Mount Sinai Medical Center,New York,New York,10029,,
NCT01597323,"The Maryland Laser, Skin and Vein Institute, Hunt Valley, Maryland 21030","The Maryland Laser, Skin and Vein Institute",Maryland,Hunt Valley,21030,,
NCT02145364,"The Maas Clinic, San Francisco, California 94115",The Maas Clinic,California,San Francisco,94115,,
NCT03125655,"The Kirklin Clinic, Birmingham, Alabama 35294",The Kirklin Clinic,Alabama,Birmingham,35294,,
NCT03122366,"The Kirklin Clinic, Birmingham, Alabama 35294","The Kirklin Clinic",Alabama,Birmingham,35294,,
NCT04740892,"The Education & Research Foundation, Inc., Lynchburg, Virginia 24591","The Education & Research Foundation, Inc.",Virginia,Lynchburg,24591,,
NCT00594425,"The Education & Research Foundation, Inc., Lynchburg, Virginia 24501-1604","The Education & Research Foundation, Inc.",Virginia,Lynchburg,24501-1604,,
NCT02260180,"The Education & Research Foundation, Inc., Lynchburg, Virginia 24501","The Education & Research Foundation, Inc.",Virginia,Lynchburg,24501,,
NCT03841032,"The Education & Research Foundation, Inc., Lynchburg, Virginia 24501","The Education & Research Foundation, Inc.",Virginia,Lynchburg,24501,,
NCT01787461,"The Education & Research Foundation, Inc., Lynchburg, Virginia 24501","The Education & Research Foundation, Inc.",Virginia,Lynchburg,24501,,
NCT02217228,"The Dermatology Institute-DuPage Medical Group, Naperville, Illinois 60563",The Dermatology Institute-DuPage Medical Group,Illinois,Naperville,60563,,
NCT06366503,"The Dermatology Group, Blue Ash, Ohio 45242","The Dermatology Group",Ohio,Blue Ash,45242,,
NCT00594425,"The Dermatology Clinical Research Center of San Antonio, San Antonio, Texas 78229",The Dermatology Clinical Research Center of San Antonio,Texas,San Antonio,78229,,
NCT00891774,"The Boyd Gillard Institute of Aesthetic & Dermatology Surgery, Ypsilanti, Michigan 48197","The Boyd Gillard Institute of Aesthetic & Dermatology Surgery",Michigan,Ypsilanti,48197,,
NCT01984619,"The Aesthetics Research Center, Redwood City, California 94043",The Aesthetics Research Center,California,Redwood City,94043,,
NCT03409965,"The Aesthetic Clinique, Santa Rosa Beach, Florida 32459",The Aesthetic Clinique,Florida,Santa Rosa Beach,32459,,
NCT06351293,"The Aesthetic Clinique, Santa Rosa Beach, Florida 32459",The Aesthetic Clinique,Florida,Santa Rosa Beach,32459,,
NCT05372419,"Texas Dermatology and Laser Specialists, San Antonio, Texas 78218",Texas Dermatology and Laser Specialists,Texas,San Antonio,78218,,
NCT05590585,"Texas Dermatology and Laser Specialists, San Antonio, Texas 78218",Texas Dermatology and Laser Specialists,Texas,San Antonio,78218,,
NCT00891774,"Tennessee Clinical Research, Nashville, Tennessee 37215",Tennessee Clinical Research,Tennessee,Nashville,37215,,
NCT04032977,"Tennessee Clinical Research Center, Nashville, Tennessee 37215",Tennessee Clinical Research Center,Tennessee,Nashville,37215,,
NCT06157853,"Tennessee Clinical Research Center, Nashville, Tennessee 37215","Tennessee Clinical Research Center",Tennessee,Nashville,37215,,
NCT02528552,"Tennessee Clinical Research Center, Nashville, Tennessee 37215","Tennessee Clinical Research Center",Tennessee,Nashville,37215,,
NCT04829227,"Tennessee Clinical Research Center, Nashville, Tennessee 37215","Tennessee Clinical Research Center",Tennessee,Nashville,37215,,
NCT04029545,"Tennessee Clinical Research Center, Nashville, Tennessee 37215",Tennessee Clinical Research Center,Tennessee,Nashville,37215,,
NCT02600104,"Tennessee Clinical Research Center, Nashville, Tennessee 37215",Tennessee Clinical Research Center,Tennessee,Nashville,37215,,
NCT02217228,"Tennessee Clinical Research Center, Nashville, Tennessee 37215",Tennessee Clinical Research Center,Tennessee,Nashville,37215,,
NCT01147172,"Tenneesee Clinical Research Center, Nashville, Tennessee 37215","Tenneesee Clinical Research Center",Tennessee,Nashville,37215,,
NCT03774849,"Syneron Candela Institute for Excellence, Wayland, Massachusetts 01778",Syneron Candela Institute for Excellence,Massachusetts,Wayland,01778,,
NCT02891239,"Syneron Candela Institute for Education Clinic, Wayland, Massachusetts 01778",Syneron Candela Institute for Education Clinic,Massachusetts,Wayland,01778,,
NCT02468453,"Syneron Candela Institute for Education Clinic, Wayland, Massachusetts 01778",Syneron Candela Institute for Education Clinic,Massachusetts,Wayland,01778,,
NCT02748928,"Syneron Candela Institute for Education Clinic, Wayland, Massachusetts 01778","Syneron Candela Institute for Education Clinic",Massachusetts,Wayland,01778,,
NCT02999763,"Syneron Candela Institute for Education Clinic, Wayland, Massachusetts 01778",Syneron Candela Institute for Education Clinic,Massachusetts,Wayland,01778,,
NCT03333759,"Sylvester Comprehensive Cancer Center, Miami, Florida 33130",Sylvester Comprehensive Cancer Center,Florida,Miami,33130,,
