nctId,status,enrollment,enrollment_type,extracted_score,Type_I,Type_II,Type_III,Type_IV,Type_V,Type_VI,facility,city,state,zip,latitude,longitude,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_Black_or_African_American,Race_White,Race_More_than_one_race,Race_Unknown_or_Not_Reported
NCT03365934,COMPLETED,35,ACTUAL,I-III,1,1,1,0,0,0,TKL Research Inc.,Fair Lawn,New Jersey,07410,40.94038,-74.13181,0.0,0.0,0.0,0.0,35.0,0.0,0.0
NCT05383664,UNKNOWN,20,ESTIMATED,I-III,1,1,1,0,0,0,University of Michigan,Ann Arbor,Michigan,48109,42.27756,-83.74088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01016964,COMPLETED,63,ACTUAL,I-IV,1,1,1,1,0,0,University of Miami Miller School of Medicine - Dermatology,Miami,Florida,33136,25.77427,-80.19366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01016964,COMPLETED,63,ACTUAL,I-IV,1,1,1,1,0,0,"University of Minnesota, Department of Dermatology",Minneapolis,Minnesota,55455,44.97997,-93.26384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01016964,COMPLETED,63,ACTUAL,I-IV,1,1,1,1,0,0,Cleveland Clinic Foundation - Department of Dermatology,Cleveland,Ohio,44195,41.4995,-81.69541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,Therapeutics Clinical Research,San Diego,California,92123,32.71571,-117.16472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,Solano Clinical Research,Vallejo,California,94589,38.10409,-122.25664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,DuPage Medical Group,Naperville,Illinois,60563,41.78586,-88.14729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,Academic Dermatology Associates,Albuquerque,New Mexico,87106,35.08449,-106.65114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,Dermatology Associates of Rochester,Rochester,New York,14623,43.15478,-77.61556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,Central Sooner Research,Norman,Oklahoma,73069,35.22257,-97.43948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,Oregon Dermatology and Research Center,Portland,Oregon,97210,45.52345,-122.67621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,Dermatology Treatment & Research,Dallas,Texas,75230,32.78306,-96.80667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,"Suzanne Bruce and Associates, PA",Houston,Texas,77056,29.76328,-95.36327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,The Dermatology Clinical Research Center of San Antonio,San Antonio,Texas,78229,29.42412,-98.49363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,"Dermatology Research Center, Inc.",Salt Lake City,Utah,84124,40.76078,-111.89105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,"The Education & Research Foundation, Inc.",Lynchburg,Virginia,24501-1604,37.41375,-79.14225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT00594425,COMPLETED,150,ACTUAL,I-IV,1,1,1,1,0,0,"Virginia Clinical Research, Inc.",Norfolk,Virginia,23507,36.84681,-76.28522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01801826,COMPLETED,61,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,Beverly Hills International Center for Aesthetic Surgery,Beverly Hills,California,90211,34.07362,-118.40036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01801826,COMPLETED,61,ACTUAL,"I, II, III, IV",1,1,1,1,0,0,77 Plastic Surgery,San Francisco,California,943102,37.77493,-122.41942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8636,Fountain Valley,California,92708,33.70918,-117.95367,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8224,Fremont,California,94538,37.54827,-121.98857,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8358,San Diego,California,92108,32.71571,-117.16472,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9955,San Diego,California,92123,32.71571,-117.16472,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #7012,Lutz,Florida,33549,28.15112,-82.46148,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8184,Maitland,Florida,32751,28.62778,-81.36312,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8764,Tampa,Florida,33613,27.94752,-82.45843,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9950,Evansville,Indiana,47714,37.97476,-87.55585,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9952,Baton Rouge,Louisiana,70808,30.44332,-91.18747,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8606,New Orleans,Louisiana,70115,29.95465,-90.07507,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8012,Glenn Dale,Maryland,20769,38.98761,-76.82053,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9948,Hyattsville,Maryland,20782,38.95594,-76.94553,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8554,Detroit,Michigan,48202,42.33143,-83.04575,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8108,Las Vegas,Nevada,89148,36.17497,-115.13722,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8620,New York,New York,10025,40.71427,-74.00597,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9956,New York,New York,10025,40.71427,-74.00597,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9949,New York,New York,10155,40.71427,-74.00597,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9953,Tulsa,Oklahoma,74133,36.15398,-95.99277,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8207,Nashville,Tennessee,37215,36.16589,-86.78444,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #9920,Arlington,Texas,76011,32.73569,-97.10807,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8329,San Antonio,Texas,78229,29.42412,-98.49363,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT05089708,COMPLETED,123,ACTUAL,All,1,1,1,1,1,1,Galderma Investigational Site #8433,San Antonio,Texas,78229,29.42412,-98.49363,2.0,34.0,4.0,90.0,112.0,0.0,4.0
NCT02995109,COMPLETED,10,ACTUAL,I,1,0,0,0,0,0,N/A,Union,New Jersey,07083,40.6976,-74.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02822339,COMPLETED,5,ACTUAL,I,1,0,0,0,0,0,N/A,Union,New Jersey,07083,40.6976,-74.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05271136,COMPLETED,26,ACTUAL,I-IV,1,1,1,1,0,0,"SGS Stephens, Inc.",Richardson,Texas,75081,32.94818,-96.72972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03643744,TERMINATED,12,ACTUAL,"I, II",1,1,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.82089,-84.01938,0.0,0.0,0.0,0.0,24.0,0.0,0.0
NCT01026662,UNKNOWN,5,ESTIMATED,All,1,1,1,1,1,1,SouthWestern Medical Center,Dallas,Texas,75390-8843,32.78306,-96.80667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT03565341,COMPLETED,20,ACTUAL,II-V,0,1,1,1,1,0,Hackensack University Medical Center - Skin Laser & Surgery Specialists Of NY & NJ,Hackensack,New Jersey,07601,40.88593,-74.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Vitiligo and Pigmentation Inst of Southern California,Los Angeles,California,90036,34.05223,-118.24368,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,"Skin Care Research, Inc.",Boca Raton,Florida,33486,26.35869,-80.0831,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,"Dermatology Research Institute, LLC",Coral Gables,Florida,33146,25.72149,-80.26838,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,International Dermatology Research,Miami,Florida,33144,25.77427,-80.19366,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,"William Coleman, MD",Metairie,Louisiana,70006,29.98409,-90.15285,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Academic Dermatology Associates,Albuquerque,New Mexico,87106,35.08449,-106.65114,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,St Luke's Roosevelt,New York,New York,10025,40.71427,-74.00597,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,Tenneesee Clinical Research Center,Nashville,Tennessee,37215,36.16589,-86.78444,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT01147172,COMPLETED,100,ACTUAL,"IV, V, VI",0,0,0,1,1,1,"Derm Research, Inc.",Austin,Texas,78759,30.26715,-97.74306,3.0,1.0,0.0,41.0,0.0,2.0,53.0
NCT05279495,COMPLETED,20,ACTUAL,"II, III",0,1,1,0,0,0,Center for Clinical and Cosmetic Research,Aventura,Florida,33180,25.95648,-80.13921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02681224,COMPLETED,17,ACTUAL,I-IV,1,1,1,1,0,0,Cosmetic Laser Dermatology,San Diego,California,92121,32.71571,-117.16472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05210582,UNKNOWN,6,ESTIMATED,IV-VI,0,0,0,1,1,1,CLINUVEL Investigational site,Detroit,Michigan,48202,42.33143,-83.04575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06436261,COMPLETED,20,ACTUAL,I-III,1,1,1,0,0,0,AYA™ Medical Spa,Atlanta,Georgia,30305,33.749,-84.38798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06436261,COMPLETED,20,ACTUAL,I-III,1,1,1,0,0,0,Resurrect Skin MD,Dallas,Texas,75225,32.78306,-96.80667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT05045183,COMPLETED,34,ACTUAL,I-III,1,1,1,0,0,0,"SGS Stephens, Inc. Dallas Research Center",Richardson,Texas,75081,32.94818,-96.72972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT04356456,WITHDRAWN,N/A,ACTUAL,"II, III",0,1,1,0,0,0,Consumer product testing (CPT),Fairfield,New Jersey,07004,40.88371,-74.30598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06885112,RECRUITING,40,ESTIMATED,V-VI,0,0,0,0,1,1,UnionDerm,New York,New York,10003,40.71427,-74.00597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT06633731,COMPLETED,11,ACTUAL,"V, VI",0,0,0,0,1,1,Tone Dermatology,Chicago,Illinois,60616,41.85003,-87.65005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT02760563,COMPLETED,10,ACTUAL,I,1,0,0,0,0,0,N/A,Union,New Jersey,07083,40.6976,-74.2632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
