nctId,status,enrollment,enrollment_type,last_update_year,extracted_score,Type_I,Type_II,Type_III,Type_IV,Type_V,Type_VI,facility,city,state,zip,latitude,longitude,Race_American_Indian_or_Alaska_Native,Race_Asian,Race_Native_Hawaiian_or_Other_Pacific_Islander,Race_Black_or_African_American,Race_White,Race_More_than_one_race,Race_Unknown_or_Not_Reported,search_query,place_name,phase,central_contacts,overall_officials
NCT06428721,RECRUITING,80.0,ESTIMATED,2024,I-II,1,1,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,NA,"[{'name': 'Manager, Clinical Research Operations', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}, {'name': 'Regulatory Specialist', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}]","[{'name': 'Jeffrey Travers, MD, PhD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT03960125,WITHDRAWN,0.0,ACTUAL,2022,"I, II",1,1,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,EARLY_PHASE1,[],"[{'name': 'Jeffrey B Travers, MD, PhD', 'affiliation': 'Wright State Physicians', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT03643744,TERMINATED,12.0,ACTUAL,2024,"I, II",1,1,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,24.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,PHASE1,[],"[{'name': 'Jeffrey B Travers, MD, PhD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT04122456,RECRUITING,48.0,ESTIMATED,2025,"I, II",1,1,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,NA,"[{'name': 'Manager, Clinical Research Operations', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}, {'name': 'Regulatory Specialist', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}]","[{'name': 'Jeffrey B Travers, MD, PhD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT04560647,COMPLETED,9.0,ACTUAL,2023,All,1,1,1,1,1,1,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,N/A,[],"[{'name': 'Jeffrey B Travers, MD, PhD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT05734235,COMPLETED,8.0,ACTUAL,2023,"I, II",1,1,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,PHASE1,[],"[{'name': 'Jeffrey B Travers, MD, PhD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT03932162,RECRUITING,24.0,ESTIMATED,2025,"I, II",1,1,0,0,0,0,Wright State Physicians,Fairborn,Ohio,45324,39.78900110000001,-84.05004749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wright State Physicians, Fairborn, Ohio 45324",Wright State Physicians,EARLY_PHASE1,"[{'name': 'Manager, Clinical Research Operations', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}, {'name': 'Regulatory Specialist', 'role': 'CONTACT', 'phone': '937-245-7500', 'email': 'pturesearch@wrightstatephysicians.org'}]","[{'name': 'Jeffrey B Travers, MD, PhD', 'affiliation': 'Wright State University', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT04617782,COMPLETED,60.0,ACTUAL,2024,"I, II, III",1,1,1,0,0,0,Worldwide Clinical Trials,San Antonio,Texas,78217,29.5170728,-98.4170523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Worldwide Clinical Trials, San Antonio, Texas 78217",Worldwide Clinical Trials,PHASE1,[],"[{'name': 'Robert Bass, MD', 'affiliation': 'Worldwide Clinical Trials', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT00702507,COMPLETED,200.0,ACTUAL,2012,I-VI,1,1,1,1,1,1,"Wilson P. Andrews Jr., MD",Marietta,Georgia,30062,34.0175361,-84.4880658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wilson P. Andrews Jr., MD, Marietta, Georgia 30062",Andrews Jr Wilson P MD,PHASE4,[],"[{'name': 'GSK Clinical Trials', 'affiliation': 'GlaxoSmithKline', 'role': 'STUDY_DIRECTOR'}]"
NCT05372419,COMPLETED,90.0,ACTUAL,2025,IV-VI,0,0,0,1,1,1,Wilmington Health Family Medicine,Wilmington,North Carolina,28411,34.2950498,-77.7944894,6.0,10.0,4.0,70.0,0.0,0.0,0.0,"Wilmington Health Family Medicine, Wilmington, North Carolina 28411",Wilmington Health Family Medicine - Porters Neck,PHASE3,[],"[{'name': 'Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)', 'affiliation': 'Eli Lilly and Company', 'role': 'STUDY_DIRECTOR'}]"
NCT04207047,UNKNOWN,3.0,ACTUAL,2019,I-VI,1,1,1,1,1,1,"William LoVerme, MD",Billerica,Massachusetts,01821,42.30596389999999,-71.2818954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"William LoVerme, MD, Billerica, Massachusetts 01821","William Loverme, MD",NA,[],[]
NCT04208100,ACTIVE_NOT_RECRUITING,41.0,ACTUAL,2019,I-IV,1,1,1,1,0,0,"William LoVerme, MD",Billerica,Massachusetts,01821,42.30596389999999,-71.2818954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"William LoVerme, MD, Billerica, Massachusetts 01821","William Loverme, MD",NA,[],[]
NCT01147172,COMPLETED,100.0,ACTUAL,2017,"IV, V, VI",0,0,0,1,1,1,"William Coleman, MD",Metairie,Louisiana,70006,30.01843299999999,-90.1976686,3.0,1.0,0.0,41.0,0.0,2.0,53.0,"William Coleman, MD, Metairie, Louisiana 70006",Dr. William Coleman,NA,[],"[{'name': 'Frederic Brandt, MD', 'affiliation': 'Dermatology Research Institute, LLC', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'William P Coleman, MD', 'affiliation': 'Private Practice', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Michael Gold, MD', 'affiliation': 'Tennessee Clinical Research Center', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Alicia Barba, MD', 'affiliation': 'International Dermatology Research, Inc.', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Andrew Alexis, MD', 'affiliation': ""St. Luke's-Roosevelt Hospital Center"", 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Michael Jarratt, MD', 'affiliation': 'Derm Research, Inc.', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Pearl Grimes, MD', 'affiliation': 'Vitiligo & Pigmentation Institute of Southern California', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Marta Rendon, MD', 'affiliation': 'Skin Care Research, Inc.', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Eduardo Tschen, MD', 'affiliation': 'Academic Dermatology Associates', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT03938948,UNKNOWN,62.0,ESTIMATED,2021,I-IV,1,1,1,1,0,0,Will Surgical Arts,Ijamsville,Maryland,21754,39.3211057,-77.339668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Will Surgical Arts, Ijamsville, Maryland 21754","Will Surgical Arts: Dr. Michael J. Will MD, DDS, FACS",NA,"[{'name': 'Elinor Chang', 'role': 'CONTACT', 'phone': '7134876230', 'email': 'admin@awareable.ai'}]","[{'name': 'Michael Will, MD', 'affiliation': '', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT03285581,COMPLETED,39.0,ACTUAL,2023,I-VI,1,1,1,1,1,1,Westlake Dermatology,Austin,Texas,78746,30.3169589,-97.8611215,0.0,0.0,0.0,0.0,38.0,1.0,0.0,"Westlake Dermatology, Austin, Texas 78746",Westlake Dermatology & Cosmetic Surgery,NA,[],"[{'name': 'Stephen Ronan, M.D.', 'affiliation': 'Cutera Research Center', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Daniel Friedmann, M.D.', 'affiliation': 'Westlake Dermatology', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT03565146,COMPLETED,25.0,ACTUAL,2019,I-V,1,1,1,1,1,0,Westlake Dermatology,Austin,Texas,78746,30.3169589,-97.8611215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Westlake Dermatology, Austin, Texas 78746",Westlake Dermatology & Cosmetic Surgery,NA,[],"[{'name': 'Daniel P Friedmann', 'affiliation': 'Westlake Dermatology', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT05755139,COMPLETED,60.0,ACTUAL,2023,I-V,1,1,1,1,1,0,Westlake Dermatology,Austin,Texas,78746,30.3169589,-97.8611215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Westlake Dermatology, Austin, Texas 78746",Westlake Dermatology & Cosmetic Surgery,NA,[],"[{'name': 'Daniel Friedmann, MD', 'affiliation': 'Westlake dermatology', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Jennifer Deaver', 'affiliation': 'The Pearl Dermatology', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT06926023,NOT_YET_RECRUITING,10.0,ESTIMATED,2025,I-IV,1,1,1,1,0,0,West Dermatology Research Center/Cosmetic Laser Dermatology,San Diego,California,92121,32.8760752,-117.2131509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West Dermatology Research Center/Cosmetic Laser Dermatology, San Diego, California 92121",West Dermatology Research Center,NA,"[{'name': 'Andrea Pacheco', 'role': 'CONTACT', 'phone': '858-657-1004', 'email': 'apacheco@clderm.com'}]",[]
NCT03426098,UNKNOWN,40.0,ACTUAL,2019,I-VI,1,1,1,1,1,1,West Dermatology Research Center,San Diego,California,92121,32.8760752,-117.2131509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,NA,[],"[{'name': 'Mitchel P Goldman, MD', 'affiliation': 'Cosmetic Laser Dermatology and West Dermatology Research', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT06603857,NOT_YET_RECRUITING,40.0,ESTIMATED,2024,I-IV,1,1,1,1,0,0,West Dermatology Research Center,San Diego,California,92121,32.8760752,-117.2131509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,"PHASE2, PHASE3","[{'name': 'West Dermatology Research Center', 'role': 'CONTACT', 'phone': '858-657-1004', 'email': 'research@clderm.com'}]",[]
NCT06032286,COMPLETED,51.0,ACTUAL,2024,I-VI,1,1,1,1,1,1,West Dermatology Research Center,San Diego,California,92121,32.8760752,-117.2131509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,NA,[],[]
NCT03361176,COMPLETED,30.0,ACTUAL,2019,I-VI,1,1,1,1,1,1,West Dermatology Research Center,San Diego,California,92121,32.8760752,-117.2131509,0.0,2.0,0.0,0.0,58.0,0.0,0.0,"West Dermatology Research Center, San Diego, California 92121",West Dermatology Research Center,PHASE4,[],[]
NCT01910818,ACTIVE_NOT_RECRUITING,12.0,ACTUAL,2023,I-VI,1,1,1,1,1,1,"Wellman Center for Photomedicine, Massachusetts General Hospital",Boston,Massachusetts,02114,42.3625651,-71.068394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wellman Center for Photomedicine, Massachusetts General Hospital, Boston, Massachusetts 02114",Massachusetts General Hospital,NA,[],"[{'name': 'Richard R Anderson, MD', 'affiliation': 'Massachusetts General Hospital', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT05841628,RECRUITING,15.0,ESTIMATED,2024,I-VI,1,1,1,1,1,1,"Wellman Center for Photomedicine, Harvard Medical School",Boston,Massachusetts,02114,42.3356451,-71.104215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wellman Center for Photomedicine, Harvard Medical School, Boston, Massachusetts 02114",Harvard Medical School,NA,"[{'name': 'Cemre Turk, MD', 'role': 'CONTACT', 'phone': '6175133337', 'email': 'cturk@mgh.harvard.edu'}]","[{'name': 'Yakir Levin, MD, PhD', 'affiliation': 'Massachusetts General Hospital', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT05590585,COMPLETED,124.0,ACTUAL,2024,IV,0,0,0,1,0,0,Wayne State University Physician Group Dermatology,Dearborn,Michigan,48126,42.32649869999999,-83.2195795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wayne State University Physician Group Dermatology, Dearborn, Michigan 48126",Wayne Health Dermatology Dearborn,PHASE4,[],"[{'name': 'Clinical Trial Management', 'affiliation': 'Regeneron Pharmaceuticals', 'role': 'STUDY_DIRECTOR'}]"
NCT02772276,COMPLETED,234.0,ACTUAL,2023,"I, II, III",1,1,1,0,0,0,Washington University School of Medicine,St Louis,Missouri,63110,38.6351441,-90.2629289,4.0,2.0,0.0,174.0,288.0,0.0,0.0,"Washington University School of Medicine, St Louis, Missouri 63110",Washington University School of Medicine,PHASE2,[],"[{'name': 'Richard B Dorshow, PhD', 'affiliation': 'MediBeacon, Inc.', 'role': 'STUDY_DIRECTOR'}]"
NCT05372419,COMPLETED,90.0,ACTUAL,2025,IV-VI,0,0,0,1,1,1,Washington University School of Medicine,St Louis,Missouri,63110,38.6351441,-90.2629289,6.0,10.0,4.0,70.0,0.0,0.0,0.0,"Washington University School of Medicine, St Louis, Missouri 63110",Washington University School of Medicine,PHASE3,[],"[{'name': 'Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)', 'affiliation': 'Eli Lilly and Company', 'role': 'STUDY_DIRECTOR'}]"
NCT05590585,COMPLETED,124.0,ACTUAL,2024,IV,0,0,0,1,0,0,Washington University School of Medicine,St Louis,Missouri,63110,38.6351441,-90.2629289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Washington University School of Medicine, St Louis, Missouri 63110",Washington University School of Medicine,PHASE4,[],"[{'name': 'Clinical Trial Management', 'affiliation': 'Regeneron Pharmaceuticals', 'role': 'STUDY_DIRECTOR'}]"
NCT02146807,COMPLETED,60.0,ESTIMATED,2015,I-IV,1,1,1,1,0,0,Washington Institute of Dermatologic Laser Surgery,Washington D.C.,District of Columbia,20005,38.902315,-77.0331033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Washington Institute of Dermatologic Laser Surgery, Washington D.C., District of Columbia 20005",Washington Institute of Dermatologic Laser Surgery,NA,[],"[{'name': 'Shlomit Mann', 'affiliation': 'Syneron Medical Ltd.', 'role': 'STUDY_DIRECTOR'}]"
NCT01789346,COMPLETED,20.0,ACTUAL,2023,I-IV,1,1,1,1,0,0,Washington Institute of Dermatologic Laser Surgery,Washington D.C.,District of Columbia,20005,38.902315,-77.0331033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Washington Institute of Dermatologic Laser Surgery, Washington D.C., District of Columbia 20005",Washington Institute of Dermatologic Laser Surgery,NA,[],"[{'name': 'Tina Alster, MD', 'affiliation': 'Washington Institute of Dermatologic Laser Surgery', 'role': 'PRINCIPAL_INVESTIGATOR'}, {'name': 'Elizabeth Tanzi, MD', 'affiliation': 'Washington Institute of Dermatologic Laser Surgery', 'role': 'PRINCIPAL_INVESTIGATOR'}]"
NCT00099112,COMPLETED,,,2015,II,0,1,0,0,0,0,Warren Grant Magnuson Clinical Center - NCI Clinical Studies Support,Bethesda,Maryland,20892-1182,39.0019296,-77.1044561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Warren Grant Magnuson Clinical Center - NCI Clinical Studies Support, Bethesda, Maryland 20892-1182",NIH Clinical Center,N/A,[],"[{'name': 'Jonathan C. Vogel, MD', 'affiliation': 'NCI - Dermatology Branch', 'role': 'STUDY_CHAIR'}]"
NCT05372419,COMPLETED,90.0,ACTUAL,2025,IV-VI,0,0,0,1,1,1,"Wallace Medical Group, Inc.",Los Angeles,California,90056,33.9885114,-118.3678351,6.0,10.0,4.0,70.0,0.0,0.0,0.0,"Wallace Medical Group, Inc., Los Angeles, California 90056",Wallace Skin and Body Institute - Paul Wallace MD,PHASE3,[],"[{'name': 'Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)', 'affiliation': 'Eli Lilly and Company', 'role': 'STUDY_DIRECTOR'}]"
NCT01247818,COMPLETED,99.0,ACTUAL,2012,I-VI,1,1,1,1,1,1,Wake Research Associates,Raleigh,North Carolina,27602,35.82362310000001,-78.7058148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wake Research Associates, Raleigh, North Carolina 27602",M3 Wake Research Raleigh,PHASE2,[],"[{'name': 'Eric Wachter, Ph.D.', 'affiliation': 'Provectus Pharmaceuticals', 'role': 'STUDY_DIRECTOR'}]"
